                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0568,                 5.6048,                 4.0538,                 2.2543,                0.00194,                0.58333,                0.00196,                0.00069,                0.00056,                0.16667,                0.00038,                0.00019,                  2.025,                 8.7947,                 5.3784,                 2.7502,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.6155,                 3.5204,                 4.0619,                 1.8831,                0.00194,                0.58333,                0.04483,                0.00645,                0.00194,                0.58333,                 0.0039,                  0.002,                 1.6061,                 3.9662,                 4.8784,                 1.8841,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 1.2913,                 2.5145,                 3.5816,                 1.4272,                0.00306,                0.91667,                0.43788,                0.20083,                0.00333,                      1,                0.43842,                0.20052,                 1.4368,                 2.3397,                 4.2308,                 1.4473,             0.00015683,             0.00015683,             0.00015683
                      4,                 1.1292,                 1.8698,                 3.0299,                 1.1978,                0.00333,                      1,                 0.4954,                0.18885,                0.00333,                      1,                0.50728,                0.24231,                 1.3552,                 2.7932,                 4.0415,                 1.4604,             0.00021347,             0.00021347,             0.00021347
                      5,                 1.1255,                  1.808,                 2.4309,                 1.1211,                0.82997,                0.40825,                0.50683,                0.20995,                0.82997,                0.40825,                0.50683,                0.25646,                 1.4921,                 4.1964,                 3.9995,                 1.6537,             0.00026891,             0.00026891,             0.00026891
                      6,                 1.0476,                 1.6703,                 1.7398,                 1.0762,                0.66076,                0.16372,                 0.5545,                0.17195,                0.66076,                0.16372,                0.56461,                0.25105,                  1.364,                 3.1393,                  4.005,                 1.5377,             0.00032317,             0.00032317,             0.00032317
                      7,                 1.1732,                 1.6202,                 1.8266,                 1.1319,                0.00333,                      1,                0.57859,                0.17588,                0.00333,                      1,                0.76479,                0.28397,                 1.3522,                 2.3286,                 4.0237,                 1.4024,             0.00037624,             0.00037624,             0.00037624
                      8,                 1.1259,                  1.605,                 1.8145,                 1.0509,                0.00333,                      1,                0.57235,                  0.247,                0.00333,                      1,                0.78269,                0.30729,                 1.3551,                 2.2128,                 3.8798,                 1.3537,             0.00042812,             0.00042812,             0.00042812
                      9,                0.94932,                 1.2508,                 1.7132,                0.99337,                0.00333,                      1,                0.53233,                0.29336,                0.00333,                      1,                0.70381,                0.32579,                  1.403,                 2.4772,                 3.5975,                 1.3619,             0.00047882,             0.00047882,             0.00047882
                     10,                0.99067,                 1.4582,                 1.4409,                 1.0099,                0.52641,                    0.5,                0.51826,                0.30802,                0.64906,                0.61825,                0.69225,                0.38506,                 1.4797,                 2.3133,                 3.5008,                 1.3864,             0.00052832,             0.00052832,             0.00052832
                     11,                 1.0437,                 1.6337,                 1.4668,                 1.0099,                0.61475,                0.40072,                0.52274,                0.23269,                0.74316,                0.48405,                 0.6225,                0.35047,                 1.5927,                 2.1841,                 3.6276,                 1.4791,             0.00057664,             0.00057664,             0.00057664
                     12,                 1.0255,                 1.4447,                 1.4359,                 1.0061,                0.00333,                      1,                0.46407,                0.20998,                0.00333,                      1,                0.57928,                0.29481,                 1.5647,                 2.2898,                 3.7852,                 1.4595,             0.00062377,             0.00062377,             0.00062377
                     13,                 1.0507,                 1.5087,                 1.6103,                 1.0626,                0.00333,                      1,                0.57691,                0.24583,                0.00333,                      1,                0.48566,                0.21295,                  1.336,                 2.3923,                  3.847,                 1.3505,             0.00066971,             0.00066971,             0.00066971
                     14,                0.90644,                 1.3896,                 1.3285,                0.98359,                0.00826,                      1,                  0.711,                0.31135,                0.00826,                      1,                  0.711,                0.36005,                 1.3719,                  2.014,                 3.6575,                 1.3476,             0.00071447,             0.00071447,             0.00071447
                     15,                0.99007,                 1.3284,                 1.3791,                 1.0411,                0.58457,                0.35378,                0.53631,                0.25821,                0.58457,                0.35378,                0.53631,                0.28622,                 1.4054,                 2.1493,                 3.6329,                 1.3849,             0.00075803,             0.00075803,             0.00075803
                     16,                0.93469,                 1.2119,                 1.5229,                 1.0008,                0.15332,                0.58333,                0.32276,                0.16563,                0.15332,                0.58333,                0.32538,                0.17278,                 1.3927,                 2.2437,                 3.8787,                 1.4543,             0.00080041,             0.00080041,             0.00080041
                     17,                 1.0646,                  1.558,                 1.4893,                 1.0631,                0.35557,                0.33333,                 0.2009,                0.07568,                0.35557,                0.33333,                0.25881,                0.08667,                 1.3791,                 2.5655,                   4.15,                 1.4761,              0.0008416,              0.0008416,              0.0008416
                     18,                0.95299,                 1.2561,                 1.4416,                0.99963,                0.52314,                0.33333,                 0.5932,                0.21537,                0.52314,                0.33333,                0.60054,                0.23967,                 1.3212,                 2.6072,                 3.8462,                 1.4249,              0.0008816,              0.0008816,              0.0008816
                     19,                 1.0051,                 1.2447,                 1.3616,                 1.0337,                0.58877,                0.59747,                0.68353,                0.29337,                0.58877,                0.59747,                0.70128,                0.33616,                 1.4096,                 2.3613,                 3.3964,                 1.4506,             0.00092042,             0.00092042,             0.00092042
                     20,                0.98739,                 1.4167,                 1.5009,                 1.0269,                0.65523,                    0.5,                0.62894,                0.30002,                0.64843,                    0.5,                0.65156,                0.35403,                 1.5829,                 2.3239,                 3.1496,                 1.5375,             0.00095804,             0.00095804,             0.00095804
                     21,                0.97206,                 1.3714,                 1.2541,                 1.0144,                0.60957,                0.58333,                0.57734,                0.29772,                0.60957,                0.58333,                0.61496,                0.35701,                 1.5173,                 2.3164,                 3.0999,                 1.5286,             0.00099448,             0.00099448,             0.00099448
                     22,                0.91884,                 1.2633,                 1.3289,                 1.0257,                0.87476,                 0.5822,                0.68198,                0.32832,                0.87476,                 0.5822,                0.72819,                 0.4051,                 1.4267,                 2.3963,                 3.1194,                 1.4737,              0.0010297,              0.0010297,              0.0010297
                     23,                0.93364,                 1.4318,                 1.3901,                 1.0419,                0.48351,                0.41667,                0.52686,                0.26253,                0.48351,                0.41667,                0.53037,                0.28261,                 1.3728,                 2.9828,                 3.1298,                  1.312,              0.0010638,              0.0010638,              0.0010638
                     24,                 1.0001,                 1.2707,                 1.3704,                 1.0479,                0.52945,                    0.5,                0.57311,                0.33167,                0.51364,                    0.5,                0.58041,                0.32947,                  1.295,                 2.7595,                  2.925,                 1.2631,              0.0010967,              0.0010967,              0.0010967
                     25,                 1.0001,                 1.4024,                 1.3534,                 1.0089,                0.86761,                   0.75,                0.85402,                0.50187,                0.86761,                   0.75,                0.85402,                0.51343,                  1.337,                  2.399,                 2.5738,                 1.3033,              0.0011284,              0.0011284,              0.0011284
                     26,                0.88236,                 1.2173,                 1.2596,                0.98224,                      1,                0.81365,                0.94167,                0.50041,                      1,                0.81365,                0.94167,                0.57819,                 1.4885,                 2.3286,                 2.5192,                 1.5024,              0.0011588,              0.0011588,              0.0011588
                     27,                0.91005,                 1.3246,                 1.3159,                  1.039,                      1,                0.83073,                0.93541,                0.50504,                      1,                0.83073,                0.93541,                0.56313,                 1.4736,                 2.2687,                  2.399,                 1.5111,              0.0011882,              0.0011882,              0.0011882
                     28,                0.87693,                 1.1021,                 1.2744,                 1.0117,                0.89407,                0.83333,                0.88088,                0.43316,                0.89407,                0.83333,                0.88088,                0.50921,                 1.4735,                 2.4248,                 2.4341,                 1.5535,              0.0012163,              0.0012163,              0.0012163
