                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8413,                  5.019,                 4.2077,                0.00115,                0.20755,                0.00231,                0.00082,                 3.5278,                 4.9982,                 4.1589,                0.00014,                0.00014,                0.00014
                      2,                 3.6379,                 4.7823,                 4.1847,                0.00115,                0.20755,                0.00127,                 0.0006,                 3.5264,                 4.9995,                 4.1544,             0.00029851,             0.00029851,             0.00029851
                      3,                 3.5383,                 4.3358,                  4.109,                0.00115,                0.20755,                0.00185,                0.00072,                 3.5241,                 4.9848,                 4.1471,             0.00045545,             0.00045545,             0.00045545
                      4,                 3.4243,                 4.0535,                 3.9978,                0.00115,                0.20755,                0.00116,                0.00055,                 3.5217,                 4.9479,                 4.1405,             0.00061079,             0.00061079,             0.00061079
                      5,                 3.2233,                 3.8788,                 3.7604,                0.00115,                0.20755,                0.00119,                0.00052,                 3.5243,                 4.8541,                 4.1486,             0.00076456,             0.00076456,             0.00076456
                      6,                 2.9572,                 3.7272,                 3.5809,                0.00115,                0.20755,                0.00116,                0.00052,                  3.547,                 4.6585,                 4.1913,             0.00091674,             0.00091674,             0.00091674
                      7,                 2.8465,                 3.5787,                 3.3062,                0.00094,                0.16981,                0.00105,                 0.0003,                 3.5727,                 4.5731,                 4.2422,              0.0010673,              0.0010673,              0.0010673
                      8,                 2.8561,                 3.6038,                 3.2851,                0.00104,                0.18868,                0.00094,                0.00038,                 3.6139,                 4.5344,                 4.3055,              0.0012163,              0.0012163,              0.0012163
                      9,                 2.6417,                 3.3595,                 3.0547,                0.00119,                0.20755,                0.00097,                 0.0004,                 3.5787,                 4.5295,                 4.2574,              0.0013638,              0.0013638,              0.0013638
                     10,                 2.5503,                 3.1073,                 2.9819,                0.00123,                0.20755,                0.00108,                0.00044,                 3.5159,                 4.5824,                 4.2423,              0.0015096,              0.0015096,              0.0015096
                     11,                 2.6697,                 3.3522,                 2.9224,                0.00121,                0.20755,                0.00132,                0.00046,                 3.3314,                 4.5938,                 4.1983,              0.0016539,              0.0016539,              0.0016539
                     12,                  2.718,                 3.4558,                 2.8119,                 0.0039,                0.37736,                0.00282,                0.00097,                 3.0404,                 4.4915,                  3.939,              0.0017965,              0.0017965,              0.0017965
                     13,                 2.5835,                 2.9682,                 2.6749,                0.00308,                0.32075,                0.00492,                0.00143,                 2.9833,                 4.3282,                 4.0078,              0.0018812,              0.0018812,              0.0018812
                     14,                 2.4005,                 2.8507,                 2.5974,                0.00272,                0.30189,                0.00653,                0.00179,                 2.8867,                 4.2767,                 3.8341,              0.0018713,              0.0018713,              0.0018713
                     15,                   2.38,                 2.8644,                 2.7885,                0.08393,                0.15094,                0.03113,                0.00966,                 2.8123,                 3.7699,                 3.2964,              0.0018614,              0.0018614,              0.0018614
                     16,                  2.282,                 2.5891,                 2.4419,                0.12618,                0.20755,                0.07422,                0.02796,                 2.4277,                 3.5116,                 2.8085,              0.0018515,              0.0018515,              0.0018515
                     17,                 2.4445,                 2.5199,                 2.4479,                0.10949,                0.07547,                0.03985,                0.01345,                 2.3862,                 3.5017,                 2.8096,              0.0018416,              0.0018416,              0.0018416
                     18,                 2.3005,                 2.4151,                 2.4272,                0.15516,                0.16981,                0.09608,                0.03613,                 2.3407,                 3.7743,                 2.7593,              0.0018317,              0.0018317,              0.0018317
                     19,                 2.2385,                 2.3464,                 2.4416,                0.27156,                0.15094,                0.09818,                0.03496,                 2.3347,                 4.4282,                 2.8138,              0.0018218,              0.0018218,              0.0018218
                     20,                 2.1937,                 2.3077,                 2.4513,                0.22014,                0.22642,                0.14543,                0.06537,                 2.3286,                 4.8537,                  2.806,              0.0018119,              0.0018119,              0.0018119
                     21,                 2.2618,                 2.3836,                 2.5021,                0.31267,                0.15094,                0.09502,                0.03751,                 2.3513,                 3.9946,                 2.7063,               0.001802,               0.001802,               0.001802
                     22,                 2.2359,                 2.2242,                 2.4535,                0.22015,                0.18868,                0.09706,                0.03434,                   2.29,                 4.1362,                 2.4713,              0.0017921,              0.0017921,              0.0017921
                     23,                 2.1976,                 2.2718,                 2.4412,                0.15496,                0.16981,                0.10574,                0.03225,                 2.1776,                 3.2958,                 2.3628,              0.0017822,              0.0017822,              0.0017822
                     24,                 2.1881,                 2.1041,                 2.3083,                0.16798,                0.20755,                0.12739,                0.04692,                 2.1889,                 3.2175,                 2.3621,              0.0017723,              0.0017723,              0.0017723
                     25,                 2.1492,                 2.1734,                 2.3001,                0.12958,                0.24528,                0.10399,                0.03439,                 2.1723,                 3.0827,                 2.3936,              0.0017624,              0.0017624,              0.0017624
                     26,                 1.9556,                 1.9522,                 2.2037,                0.23816,                0.20755,                 0.1737,                0.06454,                 2.1084,                 2.9318,                 2.3843,              0.0017525,              0.0017525,              0.0017525
                     27,                 2.0583,                 1.9425,                 2.3125,                0.19018,                0.32075,                0.16659,                0.05044,                 2.1897,                 2.9116,                 2.4537,              0.0017426,              0.0017426,              0.0017426
                     28,                 1.9926,                 2.0158,                 2.3138,                0.20921,                0.20755,                0.15591,                0.07234,                 2.1191,                 3.2271,                 2.3804,              0.0017327,              0.0017327,              0.0017327
                     29,                 1.9445,                 1.8256,                 2.2531,                0.24903,                0.38797,                0.22533,                  0.093,                 2.2039,                  2.985,                  2.461,              0.0017228,              0.0017228,              0.0017228
                     30,                 2.0656,                 2.1106,                 2.3954,                0.25457,                0.33962,                0.18567,                0.06969,                 2.1804,                 2.7905,                 2.3773,              0.0017129,              0.0017129,              0.0017129
                     31,                 2.0236,                 2.0064,                 2.1748,                0.16439,                0.22642,                0.09116,                0.03291,                 2.2485,                 3.1175,                 2.5974,               0.001703,               0.001703,               0.001703
                     32,                 2.0263,                 1.7322,                 2.2544,                0.33968,                0.15094,                0.15265,                0.05982,                  2.229,                  4.781,                  2.475,              0.0016931,              0.0016931,              0.0016931
                     33,                 2.0606,                 1.8813,                 2.1998,                0.29738,                0.18868,                0.18028,                0.06815,                 2.1158,                 3.8632,                 2.3994,              0.0016832,              0.0016832,              0.0016832
                     34,                 2.0502,                 1.9447,                 2.1837,                0.33006,                0.22642,                0.17861,                0.06842,                 2.1816,                 3.0336,                  2.409,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.9513,                 1.8482,                 2.1938,                0.39793,                0.20755,                0.25137,                 0.1025,                 2.0951,                 2.4632,                 2.3346,              0.0016634,              0.0016634,              0.0016634
